https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),10003,10003,271,271
Alagoas (AL),23632,23632,793,793
Amapá (AP),18024,18024,337,337
Amazonas (AM),58018,58018,2550,2549
Bahia (BA),39207,39206,1181,1181
Ceará (CE),82169,81289,5192,5070
Distrito Federal(DF),25397,25380,348,348
Espírito Santo (ES),29030,28952,1132,1131
Goiás (GO),11900,11264,249,246
Maranhão (MA),62711,62711,1537,1537
Mato Grosso (MT),6877,6388,250,226
Mato Grosso do Sul (MS),3785,3785,36,36
Minas Gerais (MG),22024,22024,502,502
Pará (PA),74192,71243,4350,4291
Paraíba (PB),30128,30128,671,671
Paraná (PR),10690,10557,372,364
Pernambuco (PE),46427,46427,3959,3959
Piauí (PI),11559,10881,398,393
Rio de Janeiro (RJ),83343,83343,7967,7967
Rio Grande do Norte (RN),15212,15212,585,585
Rio Grande do Sul (RS),16471,16471,374,374
Rondônia (RO),13010,13010,346,346
Roraima (RR),7150,6935,224,216
Santa Catarina (SC),14402,14402,212,212
São Paulo (SP),190285,190285,11132,11132
Sergipe (SE),16310,16310,364,364
Tocantins (TO),7309,7309,140,140
TOTAL,929265,923189,45472,45241
