https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),54130,54130,948,948
Alagoas (AL),126952,126952,2903,2903
Amapá (AP),81470,81470,1120,1120
Amazonas (AM),301636,301636,10286,10286
Bahia (BA),643244,643244,10995,10995
Ceará (CE),408555,408555,10896,10868
Distrito Federal(DF),287365,287365,4728,4728
Espírito Santo (ES),313676,313527,6234,6234
Goiás (GO),378080,377020,8203,8163
Maranhão (MA),214478,214478,4895,4895
Mato Grosso (MT),238781,237403,5574,5484
Mato Grosso do Sul (MS),174106,173235,3186,3178
Minas Gerais (MG),822448,822448,17249,17249
Pará (PA),353036,351472,8163,8087
Paraíba (PB),208742,208742,4306,4306
Paraná (PR),604594,604594,10992,10992
Pernambuco (PE),287066,287066,10780,10780
Piauí (PI),168403,167624,3232,3222
Rio de Janeiro (RJ),566928,566928,31882,31882
Rio Grande do Norte (RN),160250,157800,3470,3437
Rio Grande do Sul (RS),594259,594259,11609,11609
Rondônia (RO),140205,140205,2623,2623
Roraima (RR),78822,78394,1028,1024
Santa Catarina (SC),627386,627386,6844,6844
São Paulo (SP),1949459,1949459,57240,57240
Sergipe (SE),146837,146837,2896,2896
Tocantins (TO),108896,108397,1470,1464
TOTAL,10039804,10030626,243752,243457
