https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),45729,45729,844,844
Alagoas (AL),112854,112854,2656,2656
Amapá (AP),74535,74535,1020,1019
Amazonas (AM),241182,241182,6757,6757
Bahia (BA),553770,553770,9760,9760
Ceará (CE),359678,358404,10299,10261
Distrito Federal(DF),267340,267340,4452,4452
Espírito Santo (ES),282044,281910,5615,5609
Goiás (GO),335649,334578,7226,7205
Maranhão (MA),204767,204767,4631,4631
Mato Grosso (MT),205162,204031,4902,4830
Mato Grosso do Sul (MS),155010,154121,2771,2741
Minas Gerais (MG),668216,668216,13891,13891
Pará (PA),316176,314119,7470,7458
Paraíba (PB),180464,180464,3939,3939
Paraná (PR),515464,515464,9243,9243
Pernambuco (PE),246799,246799,10133,10133
Piauí (PI),154397,153771,2989,2985
Rio de Janeiro (RJ),494127,494127,28440,28440
Rio Grande do Norte (RN),134844,133174,3240,3203
Rio Grande do Sul (RS),520313,520313,10196,10196
Rondônia (RO),113778,113778,2070,2070
Roraima (RR),71740,71583,819,819
Santa Catarina (SC),552310,552310,6036,6036
São Paulo (SP),1670754,1670754,50938,50938
Sergipe (SE),131023,131023,2697,2697
Tocantins (TO),98787,98252,1338,1334
TOTAL,8706912,8697368,214372,214147
