https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),25469,25469,624,624
Alagoas (AL),80786,80786,1936,1936
Amapá (AP),44863,44863,673,673
Amazonas (AM),123905,123905,3849,3849
Bahia (BA),271963,271963,5693,5693
Ceará (CE),222473,222445,8567,8566
Distrito Federal(DF),170806,170806,2720,2720
Espírito Santo (ES),115793,115793,3268,3268
Goiás (GO),147933,147728,3481,3475
Maranhão (MA),158310,158310,3518,3518
Mato Grosso (MT),98709,98206,2978,2932
Mato Grosso do Sul (MS),54125,54125,970,970
Minas Gerais (MG),236012,236012,5851,5851
Pará (PA),208560,208259,6269,6257
Paraíba (PB),109706,109706,2550,2550
Paraná (PR),143853,143853,3577,3577
Pernambuco (PE),132420,132420,7721,7721
Piauí (PI),82564,82282,1915,1901
Rio de Janeiro (RJ),233052,233052,16593,16593
Rio Grande do Norte (RN),64029,63810,2302,2294
Rio Grande do Sul (RS),143952,143952,3756,3756
Rondônia (RO),58237,58237,1187,1187
Roraima (RR),45302,45253,598,598
Santa Catarina (SC),189477,189477,2422,2422
São Paulo (SP),857330,857330,31377,31377
Sergipe (SE),73846,73846,1898,1898
Tocantins (TO),55906,55906,754,754
TOTAL,4149381,4147794,127047,126960
