https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),31788,31788,701,701
Alagoas (AL),91848,91848,2274,2274
Amapá (AP),53330,53330,764,764
Amazonas (AM),165969,165969,4644,4644
Bahia (BA),363986,363986,7818,7818
Ceará (CE),278986,278608,9407,9404
Distrito Federal(DF),216861,216861,3759,3759
Espírito Santo (ES),163072,163002,3938,3938
Goiás (GO),262722,262002,5874,5874
Maranhão (MA),187919,187919,4130,4130
Mato Grosso (MT),147429,146682,3922,3867
Mato Grosso do Sul (MS),85507,85126,1640,1634
Minas Gerais (MG),370991,370991,9204,9204
Pará (PA),258311,257372,6799,6795
Paraíba (PB),135604,135604,3160,3160
Paraná (PR),222831,222831,5470,5470
Pernambuco (PE),166540,166540,8740,8740
Piauí (PI),117732,117149,2482,2470
Rio de Janeiro (RJ),316575,316575,20905,20905
Rio Grande do Norte (RN),83220,82580,2616,2601
Rio Grande do Sul (RS),261656,261656,5997,5997
Rondônia (RO),73490,73490,1478,1478
Roraima (RR),59273,59195,695,695
Santa Catarina (SC),275655,275655,3231,3231
São Paulo (SP),1125936,1125936,39717,39717
Sergipe (SE),85477,85477,2244,2244
Tocantins (TO),77095,76860,1115,1114
TOTAL,5679803,5675032,162724,162628
