https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/22/casos-de-coronavirus-no-brasil-em-22-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),11,11
Alagoas (AL),7,7
Amapá (AP),1,1
Amazonas (AM),26,26
Bahia (BA),55,49
Ceará (CE),125,112
Distrito Federal(DF),131,117
Espírito Santo (ES),26,26
Goiás (GO),21,21
Maranhão (MA),2,2
Mato Grosso (MT),2,2
Mato Grosso do Sul (MS),21,21
Minas Gerais (MG),83,83
Pará (PA),4,4
Paraíba (PB),1,1
Paraná (PR),54,50
Pernambuco (PE),37,37
Piauí (PI),6,4
Rio de Janeiro (RJ),186,186
Rio Grande do Norte (RN),9,9
Rio Grande do Sul (RS),77,72
Rondônia (RO),3,3
Roraima (RR),2,2
Santa Catarina (SC),68,57
São Paulo (SP),631,631
Sergipe (SE),10,10
Tocantins (TO),5,2
TOTAL,1604,1546
