https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30758,30758,693,693
Alagoas (AL),90671,90671,2234,2234
Amapá (AP),52030,52030,747,747
Amazonas (AM),161434,161434,4528,4528
Bahia (BA),352700,352700,7600,7600
Ceará (CE),273743,273552,9344,9337
Distrito Federal(DF),212762,212762,3676,3676
Espírito Santo (ES),154736,154679,3847,3847
Goiás (GO),255362,255123,5753,5732
Maranhão (MA),185714,185714,4044,4044
Mato Grosso (MT),143325,142593,3846,3791
Mato Grosso do Sul (MS),82344,81998,1592,1588
Minas Gerais (MG),358971,357347,9015,8962
Pará (PA),252919,252389,6743,6738
Paraíba (PB),132730,132730,3091,3091
Paraná (PR),212730,212730,5205,5205
Pernambuco (PE),162402,162402,8609,8609
Piauí (PI),113291,112765,2400,2392
Rio de Janeiro (RJ),309496,309496,20565,20565
Rio Grande do Norte (RN),81518,81079,2586,2575
Rio Grande do Sul (RS),246227,243402,5768,5729
Rondônia (RO),71496,71496,1455,1455
Roraima (RR),57284,57002,692,692
Santa Catarina (SC),256356,256356,3094,3094
São Paulo (SP),1113788,1113788,39255,39255
Sergipe (SE),84237,84237,2201,2201
Tocantins (TO),75569,75425,1097,1097
TOTAL,5524593,5516658,159680,159477
