https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),40249,40249,767,767
Alagoas (AL),101443,101443,2417,2417
Amapá (AP),65422,65422,880,880
Amazonas (AM),192327,192327,5094,5094
Bahia (BA),471177,471177,8835,8835
Ceará (CE),324894,324196,9927,9916
Distrito Federal(DF),245243,245243,4156,4156
Espírito Santo (ES),230420,230280,4796,4795
Goiás (GO),301502,301226,6668,6668
Maranhão (MA),199198,199198,4433,4433
Mato Grosso (MT),173132,172226,4395,4335
Mato Grosso do Sul (MS),123529,122187,2108,2077
Minas Gerais (MG),499499,499499,11235,11235
Pará (PA),287535,286616,7069,7063
Paraíba (PB),159639,159639,3552,3552
Paraná (PR),378291,378291,7331,7331
Pernambuco (PE),208135,208135,9443,9443
Piauí (PI),138586,138152,2779,2769
Rio de Janeiro (RJ),407575,407575,24479,24479
Rio Grande do Norte (RN),111090,109734,2900,2873
Rio Grande do Sul (RS),409794,409794,8159,8159
Rondônia (RO),89633,89583,1708,1705
Roraima (RR),67686,67531,772,772
Santa Catarina (SC),463732,463732,4771,4771
São Paulo (SP),1388043,1388043,45136,45136
Sergipe (SE),104426,104426,2413,2413
Tocantins (TO),88070,87695,1218,1217
TOTAL,7270270,7263619,187441,187291
