https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),17295,17295,460,460
Alagoas (AL),50079,50078,1397,1397
Amapá (AP),33705,33705,507,507
Amazonas (AM),90913,90913,3149,3149
Bahia (BA),122169,122169,2840,2840
Ceará (CE),147378,146972,7179,7178
Distrito Federal(DF),82412,82412,1085,1085
Espírito Santo (ES),70609,70609,2222,2222
Goiás (GO),40782,40769,1106,1092
Maranhão (MA),106325,106325,2708,2708
Mato Grosso (MT),34604,34136,1348,1332
Mato Grosso do Sul (MS),16403,16403,222,222
Minas Gerais (MG),92972,92972,1982,1982
Pará (PA),138396,137484,5538,5523
Paraíba (PB),67382,67382,1486,1486
Paraná (PR),54629,54629,1327,1327
Pernambuco (PE),79452,79452,5984,5984
Piauí (PI),39606,39296,1118,1100
Rio de Janeiro (RJ),138524,138524,12114,12114
Rio Grande do Norte (RN),43766,43766,1577,1577
Rio Grande do Sul (RS),47113,47113,1252,1252
Rondônia (RO),29117,29117,686,686
Roraima (RR),25686,25467,431,429
Santa Catarina (SC),53336,53336,685,685
São Paulo (SP),415049,415049,19732,19732
Sergipe (SE),45243,45243,1125,1125
Tocantins (TO),17773,17773,294,294
TOTAL,2100718,2098389,79554,79488
