https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21757,21757,565,565
Alagoas (AL),68935,68935,1700,1700
Amapá (AP),38636,38636,604,604
Amazonas (AM),108105,108105,3405,3405
Bahia (BA),198767,198767,4067,4067
Ceará (CE),191540,190550,8043,8011
Distrito Federal(DF),127484,127484,1815,1815
Espírito Santo (ES),94478,94476,2783,2783
Goiás (GO),91849,90226,2122,2099
Maranhão (MA),132060,132060,3204,3204
Mato Grosso (MT),67144,67061,2239,2189
Mato Grosso do Sul (MS),32562,32562,545,544
Minas Gerais (MG),156551,156551,3613,3613
Pará (PA),171878,169613,5909,5901
Paraíba (PB),91819,91819,2046,2046
Paraná (PR),95943,95943,2445,2445
Pernambuco (PE),105982,105982,7008,7008
Piauí (PI),62465,61144,1548,1526
Rio de Janeiro (RJ),182563,182563,14212,14212
Rio Grande do Norte (RN),57921,57921,2003,2003
Rio Grande do Sul (RS),87415,87415,2472,2472
Rondônia (RO),45468,45468,966,966
Roraima (RR),37579,37006,555,551
Santa Catarina (SC),109522,109522,1619,1619
São Paulo (SP),639562,639562,25571,25571
Sergipe (SE),65455,65455,1633,1633
Tocantins (TO),33047,33047,474,474
TOTAL,3116487,3109630,103166,103026
