https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),56731,56731,986,986
Alagoas (AL),130586,130583,2982,2979
Amapá (AP),83279,83279,1136,1136
Amazonas (AM),313911,313911,10784,10784
Bahia (BA),674384,674384,11625,11625
Ceará (CE),422782,421234,11259,11191
Distrito Federal(DF),294911,294911,4819,4819
Espírito Santo (ES),324226,324123,6388,6387
Goiás (GO),395386,393862,8500,8480
Maranhão (MA),218435,218435,5012,5012
Mato Grosso (MT),249969,248111,5769,5675
Mato Grosso do Sul (MS),180986,180058,3306,3293
Minas Gerais (MG),869230,869230,18276,18276
Pará (PA),363916,362488,8577,8519
Paraíba (PB),218307,218307,4451,4451
Paraná (PR),638096,638096,11539,11539
Pernambuco (PE),297404,297404,10945,10945
Piauí (PI),173290,172525,3326,3305
Rio de Janeiro (RJ),579542,579542,32909,32909
Rio Grande do Norte (RN),166305,165050,3587,3562
Rio Grande do Sul (RS),632019,632019,12226,12226
Rondônia (RO),147377,147377,2817,2817
Roraima (RR),81776,81281,1100,1092
Santa Catarina (SC),663699,663699,7242,7242
São Paulo (SP),2026125,2026125,59129,59129
Sergipe (SE),150042,150042,2947,2947
Tocantins (TO),113594,112823,1517,1509
TOTAL,10466308,10455630,253154,252835
