https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),20710,20708,545,545
Alagoas (AL),63351,63351,1621,1621
Amapá (AP),36999,36999,581,581
Amazonas (AM),103269,103269,3299,3299
Bahia (BA),175390,175389,3678,3678
Ceará (CE),179976,179341,7821,7806
Distrito Federal(DF),113930,113924,1572,1572
Espírito Santo (ES),86209,86209,2628,2628
Goiás (GO),75072,73231,1817,1791
Maranhão (MA),123887,123887,3085,3085
Mato Grosso (MT),57115,56169,1997,1921
Mato Grosso do Sul (MS),27678,27678,432,432
Minas Gerais (MG),135728,135728,3043,2894
Pará (PA),160695,158277,5818,5799
Paraíba (PB),85760,85760,1901,1901
Paraná (PR),82718,82718,2128,2128
Pernambuco (PE),98833,98833,6717,6717
Piauí (PI),55718,54443,1416,1401
Rio de Janeiro (RJ),168911,168911,13715,13715
Rio Grande do Norte (RN),52724,52566,1932,1926
Rio Grande do Sul (RS),73618,73618,2099,2099
Rondônia (RO),41239,41239,898,898
Roraima (RR),34296,33194,532,528
Santa Catarina (SC),92157,92157,1235,1235
São Paulo (SP),575589,575589,23702,23702
Sergipe (SE),61069,61069,1509,1509
Tocantins (TO),27664,27664,408,408
TOTAL,2810305,2801921,96129,95819
