https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),28672,28672,667,667
Alagoas (AL),88098,88098,2097,2097
Amapá (AP),48628,48628,716,716
Amazonas (AM),142382,142382,4176,4176
Bahia (BA),315440,315440,6925,6925
Ceará (CE),243091,242873,9054,9051
Distrito Federal(DF),195413,195413,3325,3325
Espírito Santo (ES),134296,134296,3580,3580
Goiás (GO),216582,216063,4867,4862
Maranhão (MA),175388,175388,3796,3796
Mato Grosso (MT),126920,126264,3533,3482
Mato Grosso do Sul (MS),71993,71723,1365,1351
Minas Gerais (MG),307199,307199,7643,7643
Pará (PA),234129,234033,6606,6600
Paraíba (PB),122713,122713,2851,2851
Paraná (PR),184476,184476,4589,4589
Pernambuco (PE),149417,149417,8333,8333
Piauí (PI),98603,98344,2156,2149
Rio de Janeiro (RJ),271701,271701,18769,18769
Rio Grande do Norte (RN),71045,70722,2411,2402
Rio Grande do Sul (RS),202719,202719,4908,4908
Rondônia (RO),66623,66623,1371,1371
Roraima (RR),51368,51368,661,661
Santa Catarina (SC),219218,219218,2847,2847
São Paulo (SP),1003902,1003902,36178,36178
Sergipe (SE),78195,78195,2055,2055
Tocantins (TO),69478,69419,972,968
TOTAL,4917689,4915289,146451,146352
