https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),22435,22435,576,576
Alagoas (AL),71232,71232,1732,1732
Amapá (AP),39244,39244,612,612
Amazonas (AM),110777,110777,3455,3455
Bahia (BA),210993,210993,4271,4271
Ceará (CE),196667,196144,8127,8123
Distrito Federal(DF),133166,133166,1935,1935
Espírito Santo (ES),98106,98106,2849,2849
Goiás (GO),100897,99234,2286,2286
Maranhão (MA),135324,135324,3240,3240
Mato Grosso (MT),72269,72269,2336,2285
Mato Grosso do Sul (MS),36542,35434,598,591
Minas Gerais (MG),168428,168428,3943,3943
Pará (PA),177010,175608,5932,5924
Paraíba (PB),94660,94660,2113,2113
Paraná (PR),101844,101844,2612,2612
Pernambuco (PE),110409,110409,7111,7111
Piauí (PI),65638,64595,1594,1581
Rio de Janeiro (RJ),189891,189891,14507,14507
Rio Grande do Norte (RN),58072,57467,2068,2041
Rio Grande do Sul (RS),95142,95142,2631,2631
Rondônia (RO),47288,47288,1001,1001
Roraima (RR),39397,38897,568,565
Santa Catarina (SC),118183,118183,1742,1742
São Paulo (SP),686122,686122,26613,26613
Sergipe (SE),67225,67225,1684,1684
Tocantins (TO),36478,35403,506,500
TOTAL,3283439,3275520,106642,106523
