https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),28805,28805,668,668
Alagoas (AL),88283,88283,2109,2109
Amapá (AP),48814,48814,721,721
Amazonas (AM),143571,143571,4193,4193
Bahia (BA),318147,318147,6985,6985
Ceará (CE),256032,255929,9090,9084
Distrito Federal(DF),196787,196787,3364,3364
Espírito Santo (ES),135850,135850,3604,3604
Goiás (GO),222589,221141,4989,4945
Maranhão (MA),176283,176283,3817,3817
Mato Grosso (MT),128740,128071,3564,3513
Mato Grosso do Sul (MS),73027,72546,1385,1376
Minas Gerais (MG),310124,310124,7704,7704
Pará (PA),235948,234884,6623,6614
Paraíba (PB),123564,123564,2872,2872
Paraná (PR),186159,186159,4673,4673
Pernambuco (PE),150217,150217,8356,8356
Piauí (PI),99960,99276,2180,2169
Rio de Janeiro (RJ),275415,275415,18883,18883
Rio Grande do Norte (RN),72154,71043,2421,2406
Rio Grande do Sul (RS),205375,205375,4989,4989
Rondônia (RO),67014,67014,1384,1384
Roraima (RR),51635,51450,666,661
Santa Catarina (SC),221442,221442,2872,2872
São Paulo (SP),1010839,1010839,36490,36490
Sergipe (SE),78525,78525,2067,2067
Tocantins (TO),69969,69587,985,975
TOTAL,4975268,4969141,147654,147494
