https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),24647,24647,612,612
Alagoas (AL),78804,78804,1887,1887
Amapá (AP),43193,43193,661,661
Amazonas (AM),120296,120296,3649,3649
Bahia (BA),256727,256727,5397,5397
Ceará (CE),214953,214953,8409,8409
Distrito Federal(DF),162042,162042,2521,2521
Espírito Santo (ES),111263,111261,3158,3158
Goiás (GO),133796,132506,3159,3094
Maranhão (MA),151615,151615,3446,3446
Mato Grosso (MT),92265,91346,2811,2751
Mato Grosso do Sul (MS),48937,48937,862,862
Minas Gerais (MG),216557,216557,5335,5335
Pará (PA),200985,199556,6176,6146
Paraíba (PB),105778,105778,2450,2450
Paraná (PR),131906,131906,3290,3290
Pernambuco (PE),125539,125539,7593,7593
Piauí (PI),77859,77405,1843,1825
Rio de Janeiro (RJ),223631,223631,16065,16065
Rio Grande do Norte (RN),61961,61748,2264,2256
Rio Grande do Sul (RS),125813,125813,3435,3435
Rondônia (RO),55153,55153,1148,1148
Roraima (RR),43518,43518,587,587
Santa Catarina (SC),177777,177777,2260,2260
São Paulo (SP),804342,804342,30014,30014
Sergipe (SE),72528,72528,1857,1857
Tocantins (TO),50694,50694,673,673
TOTAL,3912579,3908272,121562,121381
