https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),27397,27397,652,652
Alagoas (AL),85559,85559,2034,2034
Amapá (AP),47364,47364,697,697
Amazonas (AM),133413,133413,3984,3984
Bahia (BA),299415,299415,6408,6408
Ceará (CE),236591,236100,8876,8861
Distrito Federal(DF),186054,186052,3148,3148
Espírito Santo (ES),126606,126606,3452,3452
Goiás (GO),193827,192157,4307,4265
Maranhão (MA),169690,169690,3683,3683
Mato Grosso (MT),117299,116700,3336,3287
Mato Grosso do Sul (MS),66426,65611,1217,1204
Minas Gerais (MG),276314,276314,6897,6897
Pará (PA),224302,223021,6502,6489
Paraíba (PB),118048,118048,2741,2741
Paraná (PR),168923,168923,4244,4244
Pernambuco (PE),143165,143165,8085,8085
Piauí (PI),92801,92030,2073,2061
Rio de Janeiro (RJ),254885,254885,17911,17911
Rio Grande do Norte (RN),68298,67761,2374,2356
Rio Grande do Sul (RS),179436,179436,4515,4515
Rondônia (RO),64306,64306,1320,1320
Roraima (RR),49216,48919,635,616
Santa Catarina (SC),208900,208900,2686,2686
São Paulo (SP),951973,951973,34492,34492
Sergipe (SE),76353,76353,1999,1999
Tocantins (TO),65354,64787,901,890
TOTAL,4631915,4624885,139169,138977
