https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),28030,28030,657,657
Alagoas (AL),86549,86549,2067,2067
Amapá (AP),48054,48054,705,705
Amazonas (AM),137964,137964,4035,4035
Bahia (BA),308252,308252,6697,6697
Ceará (CE),240139,239497,8957,8950
Distrito Federal(DF),191317,191317,3224,3224
Espírito Santo (ES),130714,130636,3538,3538
Goiás (GO),207859,206707,4651,4606
Maranhão (MA),172845,172845,3745,3745
Mato Grosso (MT),123112,122376,3445,3392
Mato Grosso do Sul (MS),69706,68963,1303,1293
Minas Gerais (MG),292291,292291,7259,7259
Pará (PA),230449,229175,6573,6560
Paraíba (PB),120654,120654,2816,2816
Paraná (PR),177298,177298,4422,4422
Pernambuco (PE),146325,146325,8222,8222
Piauí (PI),96086,95227,2122,2107
Rio de Janeiro (RJ),263699,263699,18388,18388
Rio Grande do Norte (RN),69683,69013,2400,2384
Rio Grande do Sul (RS),188253,188253,4724,4724
Rondônia (RO),65673,65673,1351,1351
Roraima (RR),50449,50185,648,641
Santa Catarina (SC),214261,214261,2786,2786
São Paulo (SP),979519,979519,35391,35391
Sergipe (SE),77280,77280,2031,2031
Tocantins (TO),68003,67479,939,930
TOTAL,4784464,4777522,143096,142921
