https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/24/casos-de-coronavirus-no-brasil-em-24-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),21,17
Alagoas (AL),10,9
Amapá (AP),1,1
Amazonas (AM),47,47
Bahia (BA),79,76
Ceará (CE),185,182
Distrito Federal(DF),177,160
Espírito Santo (ES),40,33
Goiás (GO),29,27
Maranhão (MA),8,8
Mato Grosso (MT),7,7
Mato Grosso do Sul (MS),24,23
Minas Gerais (MG),130,130
Pará (PA),5,5
Paraíba (PB),3,3
Paraná (PR),70,65
Pernambuco (PE),42,42
Piauí (PI),8,6
Rio de Janeiro (RJ),305,305
Rio Grande do Norte (RN),14,13
Rio Grande do Sul (RS),112,98
Rondônia (RO),5,3
Roraima (RR),8,2
Santa Catarina (SC),109,107
São Paulo (SP),810,810
Sergipe (SE),15,15
Tocantins (TO),7,7
TOTAL,2271,2201
