https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),19966,19966,537,537
Alagoas (AL),62240,62240,1594,1594
Amapá (AP),36639,36639,571,571
Amazonas (AM),102124,102124,3283,3283
Bahia (BA),170476,170476,3572,3572
Ceará (CE),176773,176580,7710,7709
Distrito Federal(DF),110028,110028,1523,1523
Espírito Santo (ES),84255,84238,2578,2578
Goiás (GO),70176,70115,1701,1697
Maranhão (MA),121953,121953,3050,3050
Mato Grosso (MT),53440,53363,1902,1886
Mato Grosso do Sul (MS),26003,26003,404,404
Minas Gerais (MG),132801,132801,2891,2891
Pará (PA),156505,156285,5784,5773
Paraíba (PB),84008,84008,1850,1850
Paraná (PR),79605,79605,2005,2005
Pernambuco (PE),97970,97970,6634,6634
Piauí (PI),53224,52993,1385,1369
Rio de Janeiro (RJ),167225,167225,13572,13572
Rio Grande do Norte (RN),51988,51845,1889,1883
Rio Grande do Sul (RS),71040,71040,1974,1974
Rondônia (RO),39893,39893,884,884
Roraima (RR),33151,33151,513,513
Santa Catarina (SC),87982,87982,1175,1175
São Paulo (SP),558685,558685,23317,23317
Sergipe (SE),60035,60035,1465,1465
Tocantins (TO),26434,26434,395,395
TOTAL,2734619,2733677,94158,94104
