https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),19132,19132,500,500
Alagoas (AL),57142,57142,1527,1527
Amapá (AP),35697,35697,558,558
Amazonas (AM),98118,98118,3236,3236
Bahia (BA),153313,153313,3270,3270
Ceará (CE),165703,165550,7616,7613
Distrito Federal(DF),100726,100726,1391,1391
Espírito Santo (ES),79468,79464,2463,2463
Goiás (GO),61700,60637,1501,1473
Maranhão (MA),115988,115988,2959,2959
Mato Grosso (MT),47045,46545,1700,1669
Mato Grosso do Sul (MS),22443,22443,328,328
Minas Gerais (MG),116645,116645,2551,2551
Pará (PA),151849,150185,5753,5716
Paraíba (PB),78175,78175,1745,1745
Paraná (PR),69392,69392,1743,1743
Pernambuco (PE),89678,89678,6421,6421
Piauí (PI),48962,47551,1292,1278
Rio de Janeiro (RJ),159639,159639,13033,13033
Rio Grande do Norte (RN),48515,48374,1720,1714
Rio Grande do Sul (RS),62347,62347,1680,1680
Rondônia (RO),36849,36849,840,840
Roraima (RR),30996,30316,493,479
Santa Catarina (SC),73771,73771,960,960
São Paulo (SP),487654,487654,21676,21676
Sergipe (SE),55009,55009,1359,1359
Tocantins (TO),22851,22851,357,357
TOTAL,2488807,2483191,88672,88539
