https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),38628,38628,753,753
Alagoas (AL),98928,98928,2380,2380
Amapá (AP),63601,63601,854,854
Amazonas (AM),187279,187279,5011,5011
Bahia (BA),447126,447126,8635,8635
Ceará (CE),316681,316394,9802,9786
Distrito Federal(DF),240132,240132,4086,4086
Espírito Santo (ES),215538,213124,4609,4571
Goiás (GO),294282,294146,6573,6549
Maranhão (MA),197267,197267,4386,4386
Mato Grosso (MT),167711,166784,4272,4215
Mato Grosso do Sul (MS),114631,113981,1967,1949
Minas Gerais (MG),469003,469003,10711,10711
Pará (PA),281667,280714,7013,7003
Paraíba (PB),153917,153917,3452,3452
Paraná (PR),332158,332158,6803,6803
Pernambuco (PE),199046,199046,9299,9299
Piauí (PI),135239,134892,2735,2723
Rio de Janeiro (RJ),389893,389893,23740,23740
Rio Grande do Norte (RN),105388,104299,2835,2805
Rio Grande do Sul (RS),378893,378893,7681,7681
Rondônia (RO),86118,86118,1645,1645
Roraima (RR),66515,66454,761,755
Santa Catarina (SC),432050,432050,4420,4420
São Paulo (SP),1337016,1337016,44050,44050
Sergipe (SE),99753,99753,2370,2370
Tocantins (TO),85731,85549,1206,1203
TOTAL,6934191,6927145,182049,181835
