https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/11/casos-de-coronavirus-no-brasil-em-11-de-abril.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),72,72
Alagoas (AL),48,48
Amapá (AP),193,193
Amazonas (AM),1050,1050
Bahia (BA),640,636
Ceará (CE),1668,1582
Distrito Federal(DF),592,579
Espírito Santo (ES),383,349
Goiás (GO),209,209
Maranhão (MA),398,344
Mato Grosso (MT),121,121
Mato Grosso do Sul (MS),100,100
Minas Gerais (MG),750,750
Pará (PA),237,217
Paraíba (PB),101,85
Paraná (PR),688,676
Pernambuco (PE),816,816
Piauí (PI),41,41
Rio de Janeiro (RJ),2607,2606
Rio Grande do Norte (RN),289,289
Rio Grande do Sul (RS),652,640
Rondônia (RO),34,33
Roraima (RR),75,75
Santa Catarina (SC),732,732
São Paulo (SP),8419,8419
Sergipe (SE),44,42
Tocantins (TO),25,23
TOTAL,20984,20727
