https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),37902,37902,744,744
Alagoas (AL),97562,97562,2366,2366
Amapá (AP),62221,62221,842,842
Amazonas (AM),185089,185089,4978,4978
Bahia (BA),436662,436662,8531,8531
Ceará (CE),313761,313439,9772,9768
Distrito Federal(DF),237114,237114,4043,4043
Espírito Santo (ES),208508,208252,4514,4510
Goiás (GO),292282,290814,6531,6520
Maranhão (MA),196446,196446,4362,4362
Mato Grosso (MT),165454,164599,4233,4176
Mato Grosso do Sul (MS),111335,109785,1897,1888
Minas Gerais (MG),453364,453364,10499,10499
Pará (PA),278858,278066,6980,6972
Paraíba (PB),152073,152073,3407,3407
Paraná (PR),317861,317861,6653,6653
Pernambuco (PE),195118,195118,9229,9229
Piauí (PI),133870,133336,2714,2704
Rio de Janeiro (RJ),381644,381644,23546,23546
Rio Grande do Norte (RN),102836,101209,2798,2770
Rio Grande do Sul (RS),363979,363979,7452,7452
Rondônia (RO),84919,84919,1628,1628
Roraima (RR),65974,65595,753,749
Santa Catarina (SC),416752,416752,4224,4224
São Paulo (SP),1316371,1316371,43661,43661
Sergipe (SE),96990,96990,2351,2351
Tocantins (TO),84963,84637,1195,1192
TOTAL,6789908,6781799,179903,179765
