https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),51679,51679,902,902
Alagoas (AL),122025,122025,2831,2831
Amapá (AP),79504,79504,1089,1089
Amazonas (AM),287844,287844,9452,9452
Bahia (BA),616789,616789,10496,10496
Ceará (CE),387084,386108,10652,10640
Distrito Federal(DF),282649,282649,4649,4649
Espírito Santo (ES),306429,306265,6069,6064
Goiás (GO),367415,366237,7821,7797
Maranhão (MA),211053,211053,4810,4810
Mato Grosso (MT),229312,228005,5382,5295
Mato Grosso do Sul (MS),168608,167786,3090,3070
Minas Gerais (MG),786653,786653,16233,16233
Pará (PA),344363,342482,7874,7864
Paraíba (PB),200846,200846,4182,4182
Paraná (PR),577734,577734,10570,10570
Pernambuco (PE),274809,274809,10577,10577
Piauí (PI),164162,163497,3156,3149
Rio de Janeiro (RJ),547081,547081,30950,30950
Rio Grande do Norte (RN),148714,146686,3401,3373
Rio Grande do Sul (RS),574012,574012,11169,11169
Rondônia (RO),133983,133983,2433,2433
Roraima (RR),76636,76327,937,924
Santa Catarina (SC),601833,601833,6626,6626
São Paulo (SP),1878802,1878802,55419,55419
Sergipe (SE),142901,142901,2849,2849
Tocantins (TO),105998,105577,1444,1437
TOTAL,9668918,9659167,235063,234850
