https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21498,21498,559,559
Alagoas (AL),66748,66748,1665,1665
Amapá (AP),38139,38139,601,601
Amazonas (AM),106428,106428,3364,3364
Bahia (BA),191401,191401,3899,3899
Ceará (CE),188289,188244,7954,7951
Distrito Federal(DF),121824,121824,1712,1712
Espírito Santo (ES),91146,91146,2720,2720
Goiás (GO),84992,84531,2017,2008
Maranhão (MA),129700,129700,3154,3154
Mato Grosso (MT),63336,62826,2125,2061
Mato Grosso do Sul (MS),30707,30707,492,492
Minas Gerais (MG),150723,150723,3449,3449
Pará (PA),167642,167099,5885,5871
Paraíba (PB),89893,89893,1983,1983
Paraná (PR),88899,88899,2270,2270
Pernambuco (PE),104113,104113,6920,6920
Piauí (PI),59982,59571,1480,1469
Rio de Janeiro (RJ),178524,178524,14070,14070
Rio Grande do Norte (RN),55315,55150,1976,1970
Rio Grande do Sul (RS),83595,83595,2346,2346
Rondônia (RO),43866,43866,940,940
Roraima (RR),36387,35933,547,547
Santa Catarina (SC),104749,104749,1419,1419
São Paulo (SP),621731,621731,25016,25016
Sergipe (SE),64271,64271,1577,1577
Tocantins (TO),31103,31103,444,444
TOTAL,3015001,3012412,100584,100477
