https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/03/casos-de-coronavirus-no-brasil-em-3-de-abril.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),46,45
Alagoas (AL),23,18
Amapá (AP),19,19
Amazonas (AM),260,260
Bahia (BA),290,282
Ceará (CE),658,658
Distrito Federal(DF),422,400
Espírito Santo (ES),153,139
Goiás (GO),88,88
Maranhão (MA),88,81
Mato Grosso (MT),44,41
Mato Grosso do Sul (MS),60,60
Minas Gerais (MG),397,397
Pará (PA),75,51
Paraíba (PB),32,30
Paraná (PR),307,307
Pernambuco (PE),136,136
Piauí (PI),22,19
Rio de Janeiro (RJ),1074,1074
Rio Grande do Norte (RN),176,176
Rio Grande do Sul (RS),410,396
Rondônia (RO),10,10
Roraima (RR),37,30
Santa Catarina (SC),301,281
São Paulo (SP),4048,4048
Sergipe (SE),27,24
Tocantins (TO),13,12
TOTAL,9216,9082
