https://g1.globo.com/bemestar/coronavirus/noticia/2020/04/06/brasil-tem-553-mortes-e-12056-casos-confirmados-de-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),50,50
Alagoas (AL),31,31
Amapá (AP),34,34
Amazonas (AM),532,532
Bahia (BA),437,431
Ceará (CE),1023,1013
Distrito Federal(DF),485,473
Espírito Santo (ES),209,194
Goiás (GO),119,119
Maranhão (MA),172,133
Mato Grosso (MT),76,76
Mato Grosso do Sul (MS),66,66
Minas Gerais (MG),525,525
Pará (PA),123,102
Paraíba (PB),36,35
Paraná (PR),466,458
Pernambuco (PE),223,223
Piauí (PI),26,23
Rio de Janeiro (RJ),1461,1461
Rio Grande do Norte (RN),246,246
Rio Grande do Sul (RS),501,481
Rondônia (RO),18,14
Roraima (RR),42,42
Santa Catarina (SC),417,379
São Paulo (SP),4866,4866
Sergipe (SE),32,32
Tocantins (TO),18,17
TOTAL,12234,12056
