https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),11263,11263,297,297
Alagoas (AL),27698,27698,866,866
Amapá (AP),21574,21574,353,353
Amazonas (AM),62902,62902,2650,2650
Bahia (BA),45305,45304,1350,1350
Ceará (CE),92397,92156,5520,5518
Distrito Federal(DF),32238,32238,405,404
Espírito Santo (ES),34238,34216,1297,1297
Goiás (GO),15418,14880,295,295
Maranhão (MA),69673,69673,1684,1684
Mato Grosso (MT),9262,8962,341,335
Mato Grosso do Sul (MS),4990,4990,43,43
Minas Gerais (MG),27305,27305,636,636
Pará (PA),84654,82881,4583,4519
Paraíba (PB),36521,36521,743,743
Paraná (PR),13821,13662,437,428
Pernambuco (PE),51118,51118,4148,4148
Piauí (PI),14264,13813,485,459
Rio de Janeiro (RJ),95537,95537,8824,8824
Rio Grande do Norte (RN),19206,19206,697,697
Rio Grande do Sul (RS),19138,19138,430,430
Rondônia (RO),14952,14952,409,409
Roraima (RR),8037,8037,245,245
Santa Catarina (SC),17108,17108,237,237
São Paulo (SP),215793,215793,12494,12494
Sergipe (SE),18449,18449,448,448
Tocantins (TO),8203,8203,167,167
TOTAL,1071064,1067579,50084,49976
