https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),23936,23936,607,607
Alagoas (AL),76894,76894,1836,1836
Amapá (AP),41553,41553,642,642
Amazonas (AM),116579,116579,3588,3588
Bahia (BA),240939,240939,5051,5051
Ceará (CE),207631,207386,8346,8339
Distrito Federal(DF),153690,153690,2344,2344
Espírito Santo (ES),107191,107191,3068,3068
Goiás (GO),123306,122130,2862,2839
Maranhão (MA),145921,145921,3377,3377
Mato Grosso (MT),85253,84277,2653,2591
Mato Grosso do Sul (MS),44324,44324,767,767
Minas Gerais (MG),198736,198736,4847,4847
Pará (PA),193564,191609,6097,6078
Paraíba (PB),102208,102208,2350,2350
Paraná (PR),120537,120537,3062,3062
Pernambuco (PE),119958,119958,7425,7425
Piauí (PI),74096,72956,1754,1741
Rio de Janeiro (RJ),214003,214003,15560,15560
Rio Grande do Norte (RN),60358,60161,2198,2192
Rio Grande do Sul (RS),112763,112763,3161,3161
Rondônia (RO),52514,52514,1087,1087
Roraima (RR),42359,42044,582,582
Santa Catarina (SC),135690,135690,2116,2116
São Paulo (SP),765670,765670,28912,28912
Sergipe (SE),70926,70926,1808,1808
Tocantins (TO),45400,45400,610,610
TOTAL,3675999,3669995,116710,116580
