https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),40638,40638,779,779
Alagoas (AL),102569,102569,2440,2440
Amapá (AP),66132,66132,897,897
Amazonas (AM),195405,195405,5151,5151
Bahia (BA),479553,479553,8924,8924
Ceará (CE),327140,327140,9952,9952
Distrito Federal(DF),246949,246949,4188,4188
Espírito Santo (ES),236238,236030,4898,4890
Goiás (GO),304175,304009,6744,6740
Maranhão (MA),199906,199906,4451,4451
Mato Grosso (MT),175790,174866,4422,4362
Mato Grosso do Sul (MS),127874,126583,2183,2160
Minas Gerais (MG),516188,516188,11475,11475
Pará (PA),289777,289348,7108,7095
Paraíba (PB),162149,162149,3582,3582
Paraná (PR),397479,397479,7600,7600
Pernambuco (PE),213453,213453,9523,9523
Piauí (PI),139928,139713,2794,2792
Rio de Janeiro (RJ),418543,418543,24827,24827
Rio Grande do Norte (RN),114548,112877,2935,2918
Rio Grande do Sul (RS),426531,426531,8403,8403
Rondônia (RO),92099,92099,1732,1732
Roraima (RR),68195,68107,773,773
Santa Catarina (SC),475200,475200,4939,4939
São Paulo (SP),1418491,1418491,45758,45758
Sergipe (SE),106896,106896,2434,2434
Tocantins (TO),88979,88739,1223,1221
TOTAL,7430825,7425593,190135,190006
