https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),28555,28555,664,664
Alagoas (AL),87750,87750,2085,2085
Amapá (AP),48529,48529,713,713
Amazonas (AM),141199,141199,4162,4162
Bahia (BA),313404,313404,6844,6844
Ceará (CE),242490,242331,9047,9047
Distrito Federal(DF),194042,194042,3291,3291
Espírito Santo (ES),133025,133025,3565,3565
Goiás (GO),215764,214768,4832,4818
Maranhão (MA),174788,174788,3776,3776
Mato Grosso (MT),126106,125452,3498,3447
Mato Grosso do Sul (MS),71476,70828,1335,1326
Minas Gerais (MG),302082,302082,7502,7502
Pará (PA),233802,232803,6593,6585
Paraíba (PB),122273,122273,2842,2842
Paraná (PR),182203,182203,4560,4560
Pernambuco (PE),148737,148737,8299,8299
Piauí (PI),98108,97498,2144,2132
Rio de Janeiro (RJ),270395,270395,18665,18665
Rio Grande do Norte (RN),70808,70106,2410,2398
Rio Grande do Sul (RS),200427,200427,4852,4852
Rondônia (RO),66473,66473,1368,1368
Roraima (RR),51298,51013,661,659
Santa Catarina (SC),217722,217722,2830,2830
São Paulo (SP),997333,997333,35956,35956
Sergipe (SE),77779,77779,2045,2045
Tocantins (TO),69398,69008,966,957
TOTAL,4885966,4880523,145505,145388
