https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),41010,41010,789,789
Alagoas (AL),103748,103748,2468,2468
Amapá (AP),67149,67149,907,907
Amazonas (AM),196754,196754,5206,5206
Bahia (BA),484485,484485,9041,9041
Ceará (CE),329896,328620,9960,9954
Distrito Federal(DF),249736,249736,4223,4223
Espírito Santo (ES),242553,241273,4996,4960
Goiás (GO),306395,305114,6776,6753
Maranhão (MA),200220,200220,4479,4479
Mato Grosso (MT),177293,176362,4468,4407
Mato Grosso do Sul (MS),130850,129484,2270,2245
Minas Gerais (MG),524658,524658,11605,11605
Pará (PA),291907,290821,7149,7142
Paraíba (PB),163993,163993,3635,3635
Paraná (PR),404695,404695,7733,7733
Pernambuco (PE),215994,215994,9588,9588
Piauí (PI),141258,140749,2821,2815
Rio de Janeiro (RJ),421674,421674,24942,24942
Rio Grande do Norte (RN),116377,114799,2984,2933
Rio Grande do Sul (RS),432241,432241,8536,8536
Rondônia (RO),93667,93667,1765,1765
Roraima (RR),68363,68295,773,773
Santa Catarina (SC),482129,482129,5082,5082
São Paulo (SP),1427752,1427752,45902,45902
Sergipe (SE),110001,110001,2461,2461
Tocantins (TO),89794,89410,1229,1226
TOTAL,7514592,7504833,191788,191570
