https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),29301,29301,676,676
Alagoas (AL),89082,89082,2157,2157
Amapá (AP),49745,49745,728,728
Amazonas (AM),148518,148518,4268,4268
Bahia (BA),329787,329787,7214,7214
Ceará (CE),261504,261284,9184,9178
Distrito Federal(DF),202058,202058,3488,3488
Espírito Santo (ES),141548,141462,3689,3688
Goiás (GO),233318,232444,5289,5261
Maranhão (MA),179654,179654,3896,3896
Mato Grosso (MT),133864,133168,3677,3623
Mato Grosso do Sul (MS),76001,75561,1469,1464
Minas Gerais (MG),325972,325972,8171,8171
Pará (PA),239519,238835,6667,6661
Paraíba (PB),126791,126791,2958,2958
Paraná (PR),195605,195605,4822,4822
Pernambuco (PE),154041,154041,8438,8438
Piauí (PI),104329,103461,2261,2249
Rio de Janeiro (RJ),285205,285205,19440,19440
Rio Grande do Norte (RN),74642,73695,2443,2428
Rio Grande do Sul (RS),216932,216932,5237,5237
Rondônia (RO),68393,68393,1411,1411
Roraima (RR),53353,52848,677,676
Santa Catarina (SC),229910,229910,2940,2940
São Paulo (SP),1045060,1045060,37541,37541
Sergipe (SE),80427,80427,2113,2113
Tocantins (TO),71984,71624,1030,1021
TOTAL,5146543,5140863,151884,151747
