https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),39341,39341,757,757
Alagoas (AL),100619,100619,2399,2399
Amapá (AP),64549,64549,864,864
Amazonas (AM),190968,190968,5062,5062
Bahia (BA),464083,464083,8748,8748
Ceará (CE),322861,322494,9909,9903
Distrito Federal(DF),243212,243212,4132,4132
Espírito Santo (ES),225358,224999,4727,4724
Goiás (GO),300229,299682,6659,6651
Maranhão (MA),198843,198843,4413,4413
Mato Grosso (MT),171490,170594,4316,4257
Mato Grosso do Sul (MS),120395,119079,2032,2009
Minas Gerais (MG),488934,488934,11009,11009
Pará (PA),285632,284774,7051,7042
Paraíba (PB),158449,158449,3523,3523
Paraná (PR),370775,370775,7213,7213
Pernambuco (PE),205262,205262,9383,9383
Piauí (PI),137607,137027,2764,2755
Rio de Janeiro (RJ),402480,402480,24351,24351
Rio Grande do Norte (RN),108223,106927,2878,2854
Rio Grande do Sul (RS),400537,400537,8007,8007
Rondônia (RO),88410,88410,1689,1689
Roraima (RR),67359,67184,772,769
Santa Catarina (SC),453322,453322,4652,4652
São Paulo (SP),1371653,1371653,44878,44878
Sergipe (SE),101810,101810,2394,2394
Tocantins (TO),87295,86971,1214,1212
TOTAL,7169696,7162978,185796,185650
