https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),32515,32515,707,707
Alagoas (AL),92166,92166,2285,2285
Amapá (AP),54056,54056,771,771
Amazonas (AM),168089,167486,4681,4655
Bahia (BA),369259,369259,7882,7882
Ceará (CE),282471,282471,9430,9430
Distrito Federal(DF),218479,218479,3797,3797
Espírito Santo (ES),166999,166853,3982,3980
Goiás (GO),266553,266499,5936,5936
Maranhão (MA),189048,189048,4154,4154
Mato Grosso (MT),151391,150620,4026,3971
Mato Grosso do Sul (MS),87081,86428,1683,1674
Minas Gerais (MG),376537,376537,9259,9259
Pará (PA),261131,260058,6808,6806
Paraíba (PB),137474,137474,3187,3187
Paraná (PR),227823,227823,5610,5610
Pernambuco (PE),168880,168880,8794,8794
Piauí (PI),119456,118939,2516,2499
Rio de Janeiro (RJ),322383,322383,21090,21090
Rio Grande do Norte (RN),83632,83108,2647,2613
Rio Grande do Sul (RS),271340,271340,6125,6125
Rondônia (RO),74248,74248,1492,1492
Roraima (RR),60156,59946,705,705
Santa Catarina (SC),284982,284982,3282,3282
São Paulo (SP),1156652,1156652,40202,40202
Sergipe (SE),85804,85804,2250,2250
Tocantins (TO),77788,77528,1128,1125
TOTAL,5786393,5781582,164429,164281
,33919,33207,933,908
