https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),39869,39869,758,758
Alagoas (AL),100978,100978,2404,2404
Amapá (AP),65109,65109,875,875
Amazonas (AM),191674,191674,5076,5076
Bahia (BA),468003,468003,8777,8777
Ceará (CE),323506,322861,9912,9909
Distrito Federal(DF),243834,243834,4138,4138
Espírito Santo (ES),227245,227245,4747,4747
Goiás (GO),300284,300276,6663,6663
Maranhão (MA),199094,199094,4420,4420
Mato Grosso (MT),171959,171060,4320,4261
Mato Grosso do Sul (MS),121461,120395,2051,2032
Minas Gerais (MG),494187,494187,11093,11093
Pará (PA),286130,285632,7057,7051
Paraíba (PB),159109,159109,3529,3529
Paraná (PR),374349,374349,7271,7271
Pernambuco (PE),207008,207008,9418,9418
Piauí (PI),137944,137607,2765,2764
Rio de Janeiro (RJ),403660,403660,24454,24454
Rio Grande do Norte (RN),108934,107654,2878,2863
Rio Grande do Sul (RS),405598,405598,8072,8072
Rondônia (RO),88822,88822,1697,1697
Roraima (RR),67429,67359,772,772
Santa Catarina (SC),457335,457335,4668,4668
São Paulo (SP),1384100,1384100,45029,45029
Sergipe (SE),103042,103042,2401,2401
Tocantins (TO),87478,87295,1216,1214
TOTAL,7218141,7213155,186461,186356
