https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),21263,21263,552,552
Alagoas (AL),65093,65093,1643,1643
Amapá (AP),37735,37735,594,594
Amazonas (AM),105054,105054,3335,3335
Bahia (BA),183691,183690,3789,3789
Ceará (CE),184100,183301,7921,7893
Distrito Federal(DF),118000,118000,1651,1651
Espírito Santo (ES),88543,88543,2667,2667
Goiás (GO),81764,79897,1924,1888
Maranhão (MA),127065,127065,3120,3120
Mato Grosso (MT),60409,59841,2051,1974
Mato Grosso do Sul (MS),29101,29101,458,458
Minas Gerais (MG),142828,142828,3304,3304
Pará (PA),164759,162822,5854,5835
Paraíba (PB),87867,87867,1945,1945
Paraná (PR),87269,87269,2224,2224
Pernambuco (PE),101395,101395,6828,6828
Piauí (PI),58390,57100,1452,1436
Rio de Janeiro (RJ),174064,174064,13941,13941
Rio Grande do Norte (RN),54268,54106,1960,1954
Rio Grande do Sul (RS),78837,78837,2231,2231
Rondônia (RO),42725,42725,923,923
Roraima (RR),35540,34929,544,538
Santa Catarina (SC),98634,98634,1357,1357
São Paulo (SP),598670,598670,24448,24448
Sergipe (SE),62844,62844,1537,1537
Tocantins (TO),29539,29539,428,428
TOTAL,2919447,2912212,98681,98493
