https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30121,30121,686,686
Alagoas (AL),89994,89994,2201,2201
Amapá (AP),50968,50968,740,740
Amazonas (AM),156196,156196,4426,4426
Bahia (BA),342526,342526,7432,7432
Ceará (CE),269255,269165,9245,9244
Distrito Federal(DF),208235,208235,3613,3613
Espírito Santo (ES),149149,149149,3773,3773
Goiás (GO),246521,245382,5563,5539
Maranhão (MA),183461,183461,3978,3978
Mato Grosso (MT),139801,139002,3773,3718
Mato Grosso do Sul (MS),79599,79120,1548,1538
Minas Gerais (MG),345188,345188,8686,8686
Pará (PA),246605,245278,6717,6704
Paraíba (PB),130225,130225,3038,3038
Paraná (PR),205481,205481,5084,5084
Pernambuco (PE),158496,158496,8531,8531
Piauí (PI),109829,109051,2340,2327
Rio de Janeiro (RJ),296797,296797,20115,20115
Rio Grande do Norte (RN),80031,79501,2571,2558
Rio Grande do Sul (RS),230944,230944,5554,5554
Rondônia (RO),70041,70041,1431,1431
Roraima (RR),55613,55269,691,691
Santa Catarina (SC),243116,243116,3015,3015
São Paulo (SP),1083641,1083641,38608,38608
Sergipe (SE),83407,83407,2163,2163
Tocantins (TO),74118,73902,1082,1078
TOTAL,5359358,5353656,156604,156471
